NEVOgroep|product_naam_f|energiewaardeinkcal_kcal|eiwittotaal_g|vettotaal_g|vetzurenverzadigd_g|zout_g|koolhydraten_g|monoendisacchariden_g|ingredienttekst
Brood|Volkoren knabbelschuit|388.0|16.4|7.6|2.7|0.73|59.6|8.9|Volkoren TARWEMEEL, glucose-fructosestroop, TARWEGLUTEN, gist, gesuikerd vrije UITLOOPKIPPENEI (vrije UITLOOPKIPPENEI, suiker), palmvet, emulgator: zonnebloemlecithine, TARWEMOUTBLOEM, GERSTEMOUTMEEL, zout, meelverbeteraar: ascorbinezuur, rijsmiddel: E501
Niet-alcoholische dranken|Viva Loco Zero 0.0%|32.0|0.5|0.0|0.0|0.01|7.8|4.0|water, GERSTEMOUT, glucosesiroop, suiker, hopextract, natuurlijke aroma's, zuurteregelaar: citroenzuur.
Niet-alcoholische dranken|Dorstvrij Blond 0.0 blik 6st/330ml|15.0|0.2|0.0|0.0|0.0|3.6|1.75|water, GERSTemout, natuurlijke aroma's, hop, hopextract
Alcoholische dranken|200 watt - 250 watt||||||||water, GERSTEMOUT (Pils, Cara en Roostmouten), HAVERVLOKKEN, Hop (Perle, Columbus, Cascade, Centennial), en gist
Alcoholische dranken|Dionysos kersbier||||||||Bevat TARWE en mout van GERST, suiker en zoetstof: steviolglycosiden uit Stevia.
Alcoholische dranken|Brabantse Donker Bruin|38.0|0.1|0.0|0.0|0.0|5.3|3.1|natuurlijk mineraalwater, GERSTEMOUT, suiker, maltose, kleur (karamel E150c) hop.
Alcoholische dranken|Zeestorm wit||||||||
Alcoholische dranken|Antwerpse wijs bok||||||||
Alcoholische dranken|Lentegroot Bokbier|62.0|0.5|0.0|0.0|0.0|5.0|0.0|water, GERSTEmout, TARWEmout, hop
Alcoholische dranken|Nordlinger witbrau weißbier 0.33liter||||||||water, TARWEMOUT, GERSTEMOUT, hop, gist.
Alcoholische dranken|Korenhoop sneeuw bier||||||||Water, GERST, TARWE, HAVER, Hop, Korianderzaad, Jacmelschil, Zoete sinaasappelschil, Paradijszaad en Gist.
Alcoholische dranken|Blijmans vruchtlief blik 25 cl||||||||Water, gerstemout, tarwemout, 15% vruchten (kriek, framboos, bosbes, vlierbes, aardbei), fructose, aroma, hop, zoetstof: acesulfaam-K
Alcoholische dranken|Hessenborgs kriek sélection français||||||||wilde gisten uit de Pajotse lucht, water, GERSTEMOUT, ONGEMOUTE TARWE en overjaarse hopbellen
Alcoholische dranken|Klifgaard blondbier||||||||Bevat GERSTEMOUT
Niet-alcoholische dranken|Brewers 0.0% Limoen Radler|34.0|0.4|0.0|0.0|0.01|7.9|6.4|water, GERSTEMOUT, natuurlijk aroma en hop.
Niet-alcoholische dranken|Hollandse Breezer 0.0 Bier Limoen Kist 24 x 30 cl|39.0|0.2|0.1|0.0|0.01|9.7|8.6|Koolzuurhoudend water, gerstemout, suiker, vruchtensap 5% uit concentraat (citroensap 2,7%, sinaasappelsap, limoensap, acerolasap), hop, hopextract, geconcentreerd citroenextract, natuurlijk aroma, stabilisator: johannesbroodpitmeel, citroengrasextract
Niet-alcoholische dranken|Brouwerij Duinen citroen dubbel fris 0.0%|27.0|0.1|0.1|0.0|0.01|6.0|5.6|koolzuurhoudend water, GERSTEMOUT, suiker, vruchtensap 5% uit concentraat (limoensap 1,8%, citroensap 1,4%, sinaasappelsap, acerolasap), hop, hopextract, geconcentreerd citroenextract, natuurlijk aroma, stabilisator: johannesbroodpitmeel
Niet-alcoholische dranken|Kronkel radler lime 0.0|33.0|0.1|0.1|0.0|0.01|8.2|6.7|koolzuurhoudend water, GERSTEMOUT, suiker, vruchtensap 4,5% uit concentraat (grapefruitsap 1,6%, citroensap, limoensap, acerolasap), hop, hopextract, geconcentreerd citroenextract, natuurlijke aroma's, stabilisator: johannesbroodpitmeel, kleur: anthocyane
Gebak en koek|Admiral loopo micro shimmers (sneeuw chocolade)|509.0|6.1|27.0|14.0|0.3|60.0|30.0|65% cacaobiscuit (tarwemeel, suiker, palmolie, 4% cacaopoeder, glucose-fructosestroop, 1,7% magere melkpoeder, rijsmiddelen: ammoniumcarbonaten, natriumcarbonaten, difosfaten; zout, emulgator: lecithinen (zonnebloem); aroma), 23% witte chocolade (suiker,
Gebak en koek|Nordic Biscuits Vanilla Delight 250g|449.0|5.0|12.9|6.9|0.2|77.7|36.4|TARWEbloem, suiker, plantaardige vetten (palm), glucosestroop, rijsmiddel:E503, zout, magere MELKpoeder, emulgator:E322, aroma. Kan sporen bevatten van ROGGE, GERST (GLUTEN).
Gebak en koek|Bakkertje crunelly|496.0|6.3|23.0|13.0|0.57|66.0|38.0|"MELKCHOCOLADE 50% (suiker, cacaoboter, cacaomassa, magere MELKPOEDER, MELKVET, emulgator (SOJALECITHINE), natuurlijk aroma), TARWEBLOEM, suiker, plantaardige oliën (palm, raap), invertsuikerstroop, rijsmiddelen (E500, E450), kokossnippers, zout, aroma. 
K"
Gebak en koek|Bessenbiscuit bosmix|383.0|5.0|7.0|1.5|0.38|74.0|33.0|TARWEBLOEM, 21% rozijnen, volkoren TARWEMEEL, 8% bosvruchtenvulling (glucose-fructosestroop, suiker, bevochtigingsmiddel: glycerine, 7,6% fruitpuree (braam, rode bes, framboos), TARWEZEMELEN, dextrose, HAVERMEEL, geleermiddel: pectinen, 0,12% fruitconcent
Gebak en koek|Berrybessen koekjes 220g|396.0|6.4|6.1|0.9|0.683|77.2|38.9|tarwebloem, rozijnen 18,6%, bosvruchtenvulling 12,4% (glucosestroop, dextrose, bevochtigingsmiddel: E422, stabilisator: E460, gemodificeerd zetmeel [aardappel, tapioca], sapconcentraat [appel, framboos 0,1%, braam 0,1%, bosbes 0,1%, aronia], karamelsuiker
Gebak en koek|Haven's choco koekjes met snoepjes.|462.0|5.4|15.8|7.1|0.81|73.9|36.3|TARWEBLOEM, 21,5% cacaofantasie (suiker, gedeeltelijk gehard plantaardig vet in wisselende samenstelling (palmolie, zonnebloemolie, SOJAOLIE, shea olie, raapzaadolie), 1,7% magere cacaopoeder, emulgator (SOJALECITHINE), aroma), suiker, 10% decoratiesuiker
Gebak en koek|Krokante melkchocolade koekjes|465.0|9.0|16.0|9.0|0.5|70.0|35.0|"tarwebloem, suiker, plantaardige olie (pal, raap), cacaoboter, cacaomassa, glucosestroop, mageremelkpoeder, weipoeder, plantaardig vet (mangopit, sal, shea, palm), melkvet, rijsmiddel (difosfaat [E450],
natriumcarbonaat [E500], ammoniumcarbonaat [E503]),"
Gebak en koek|Schaakvriendjes donker|494.0|7.0|23.0|15.0|0.43|63.0|32.0|"48% pure chocolade (suiker, cacao massa, cacao boter, botervet (MELK), emulgator: SOJALECITHINE), TARWEBLOEM, suiker, 7% boter (MELK), glucosestroop, rijsmiddel: E503/E450/E500; magere MELKPOEDER, emulgator: SOJALECITHINE, zout.

Dit product kan sporen va"
Gebak en koek|ChocoVerte Digestief melk 4 x 3 x 400 g|495.0|6.7|23.6|12.4|1.0|62.2|29.5|Bloem 39% (tarwebloem, calcium, ijzer, niacine, thiamine), melkchocolade 30% [suiker, cacaoboter, cacaomassa, magere melkpoeder, weipoeder (melk), boterolie (melk), plantaardige vetten (sal en/of shea, palm), emulgatoren (sojalecithine, E476), natuurlijk
Gebak en koek|Schaduwmaatjes noir|494.0|7.0|23.0|15.0|0.43|63.0|32.0|"48% pure chocolade (suiker, cacao massa, cacao boter, botervet (MELK), emulgator: SOJALECITHINE), TARWEBLOEM, suiker, 7% boter (MELK), glucosestroop, rijsmiddel: E503/E450/E500; magere MELKPOEDER, emulgator: SOJALECITHINE, zout.

Dit product kan sporen va"
Gebak en koek||475.0|6.5|17.8|9.7|0.47|71.0|39.4|61% Biscuit (TARWEBLOEM, suiker, palmolie, glucose-fructosestroop, GERSTEMOUTEXTRACT, zout, rijsmiddel: E500/E503), 27% melkchocolade (suiker, cacaoboter*, cacaomassa*, magere MELKPOEDER, weipoeder (MELK), MELKVET, plantaardige vetten (sal, palm, shea in
Gebak en koek|Van Haarden Delfikjes 250g|462.0|5.4|15.8|7.1|0.81|73.9|36.3|TARWEBLOEM, 21,5% cacaofantasie (suiker, gedeeltelijk gehard plantaardig vet in wisselende samenstelling (palmolie, zonnebloemolie, SOJAOLIE, shea olie, raapzaadolie), 1,7% magere cacaopoeder, emulgator (SOJALECITHINE), aroma), suiker, 10% decoratiesuiker
Gebak en koek|Haarlems hoekje puur|505.0|6.5|25.0|16.0|0.25|61.0|37.0|suiker, cacaomassa, tarwebloem, cacaoboter, 4% roomboter, glucosestroop, boterolie, rijsmiddel (natriumcarbonaat [E500], ammoniumcarbonaat [E503]), emulgator (sojalecithine [E322]), vollemelkpoeder, vegetarisch weipoeder, zout, voedingszuur (citroenzuur [
Graanproducten en bindmiddelen|Vers quiche- & piekrust|425.0|5.7|25.0|12.0|0.88|41.0|2.9|tarwebloem; palmvet: water: koolzaadolie: ethylalcohol: tarwezetmeel; zout; suiker: voedingszuur: citroenzuur; antioxidant: ascorbinezuur. Kan sporen van melkbestanddelen bevatten.
Graanproducten en bindmiddelen|Aytak tarwemeel|348.0|10.0|1.0|0.1|0.003|72.3|0.7|Tarwebloem
Graanproducten en bindmiddelen|Koren meel|349.0|11.0|1.1|0.2|0.0|72.0|1.0|tarwebloem.
Suiker, snoep, zoet beleg en zoete sauzen|Chocoliance bonbon noir (1000 gram)|491.0|3.75|32.0|18.5|0.007|44.0|41.28|suiker, cacaomassa, gezoete slagroom (slagroom (MELK), suiker, verdikkingsmiddel: (E407)), Margarine (plantaardig vet (palm , Kokos (kokosnoot)), water, plantaardige olie (Raapzaadolie, zonnebloemolie), emulgatoren (E471, E475), Zuurteregelaar: Citroenzuu
Suiker, snoep, zoet beleg en zoete sauzen|Edelhoorn suikervrije mintpastilles|292.0|0.4|9.9|9.6|0.0|83.8|0.1|zoetstoffen (maltitolstroop, mannitol), geheel gehard kokosvet, gelatine, emulgatoren (mono- en diglyceriden, lecithinen), natuurlijk aroma. Overdreven consumptie kan een laxatief effect hebben. KAN SPOREN BEVATTEN VAN MELK EN NOTEN.
Vetten en oliën|Melkzacht 400g|747.0|0.6|82.4|52.6|0.013|0.7|0.7|gepasteuriseerde room (MELK), zuursel.
Vetten en oliën|Natuurlijke boerderijboter licht gezouten 250g|727.0|0.7|80.0|58.0|1.0|1.0|1.0|"room (MELK)*, zout, zuursel (MELK).
*Van biologische oorsprong."
Vetten en oliën|Zilte romerboter|735.0|0.7|81.0|54.0|0.6|0.8|0.8|"roomboter*, 0,6% zout.
EU Landbouw
*Van biologische oorsprong."
|Klausen Försterwald Wildjus|15.0|0.9|0.0|0.0|1.3|1.5|1.4|wildbouillon (water, vleesbeenderen van ree en hert, wortel, pastinaak, prei, SELDERIJ, uien, kruiden), Madeirawijn, gehydroliseerd plantaardig eiwit, suiker, vleesextract, zout, specerijen, natuurlijk jeneverbesaroma
Vetten en oliën|Botersnoep rol havermout 250g|729.0|0.6|80.5|58.2|1.5|0.6|0.6|roomboter (MELK), zeezout 1,5%.
Vetten en oliën|Karnemelk kerel 100g|744.0|0.7|82.0|57.0|0.0|0.9|0.9|roomboter (MELK).
|Bouillon haan|12.0|1.5|0.6|0.2|0.83|0.1|0.0|water, 23% kippenvleesª, zout, kippenvet, natuurlijk aroma (ei), tomatenpuree, specerijen. ªBeter Leven keurmerk 1 ster.
|Bouillon beefstar|15.0|1.7|0.8|0.4|0.83|0.1|0.0|water, 23% rundvlees(b), zout, rundervet, natuurlijk aroma (tarwe), ui, tomatenpuree, zwarte peper, rozemarijnextract.(b)Beter Leven keurmerk 2 sterren.
|O'krauf rundbroeisel|6.0|0.9|0.2|0.1|0.74|0.1|0.1|runderbouillon 100%: water, rundvlees 12%, zout, smaakversterker: E621, kleurstof: E150c, zonnebloemolie, aroma, specerij.
|Vleesschotel|48.0|5.9|2.4|1.2|3.01|0.5|0.2|"Water, 20% rundvlees*, zout, natuurlijk aroma's, rundvet, tomatenpuree, zwarte peper.

* = Beter Leven keurmerk 2 sterren"
|Rundvleesbroodje|9.5|1.0|0.6|0.3|1.0|0.0|0.0|water, 8,5% rundvlees, zout, rundervet, smaakversterker (E621, E627, E631), aroma's (tarwe, ei), kleurstof (E150c), specerijen (mosterd), kruiden, extract (selderij, kurkuma), raapolie.
|Boeufbouillon|9.5|1.0|0.6|0.3|1.0|0.0|0.0|water, 8,5% rundvlees, zout, rundervet, smaakversterker (E621, E627, E631), aroma's (tarwe, ei), kleurstof (E150c), specerijen (mosterd), kruiden, extract (selderij, kurkuma), raapolie.
Groente|Brocchino|27.0|2.9|0.7|0.1|0.03|0.8|0.5|"Waarvan toegevoegde suikers 0.00g per 100 gram en waarvan toegevoegd zout 0.00g per 100 gram
EU Landbouw"
Brood|Dorps mais half gesn.|262.42|10.226|3.282|0.509|0.961|46.454|1.859|tarwebloem, water, roggebloem, zonnebloempitten, sojazemelen, lijnzaad, dextrose, gist, tarwegluten, sesamzaad, roggezuurdesem (gedroogd), Verbeteraar [tarwegluten, dextrose, emulgatoren (E322, E472e), gerstemoutbloem (geroosterd), tarwebloem, meelverbete
Brood|Plattelands koren oog|240.0|9.42|3.16|0.59|0.879|44.67|1.49|TARWEBLOEM, water, 5,14% maisgries (geëxtrudeerd), bakkersgist, TARWEGLUTEN, TARWEZUURDESEM, zonnebloempitten, 1,1% maïsgries, 0,9% maisbloem, bakkerszout, dextrose, plantaardige oliën (raapzaad, palm, koolzaad), TARWEBLOEM (VOORVERSTIJFSELD), emulgatoren
Brood|Zongerijpte Cornobus|260.41|9.991|3.29|0.533|1.015|43.962|1.984|TARWEbloem, water, maisgries (geëxtrudeerd), zonnebloempitten, mais, TARWEgluten, gist, LUPINEmeel, maisgries, zout, weipoeder (MELK), dextrose, plantaardige olieen (koolzaad, raapzaad), SOJAbloem, suiker, kruiden en specerijen (mengsel), emulgatoren (E48
Brood|Bakker's Rijke Rye Fries|203.0|5.7|1.3|0.2|0.8|36.8|11.6|gebroken ROGGE, water, TARWEkiemen, gejodeerd zout, TARWEzemelen, voedingszuren E270, E262, conserveermiddelen: E200, E282
Brood|Bakker's korenbrood fries|203.0|5.7|1.3|0.2|1.2|36.8|11.6|gebroken ROGGE, water, TARWEKIEMEN, gejodeerd zout, TARWEZEMELEN, voedingszuren E270, E262, conserveermiddelen: E200, E282.
Brood|Knabbeltje roggevoer fries 250g|202.0|5.9|2.1|0.3|0.94|35.0|9.3|water, 57% volkoren gebroken ROGGE, TARWEZEMELEN, zout, voedingszuur (melkzuur), volkoren TARWEMEEL, TARWEMOUTMEEL, TARWEBLOEM.
Brood|Eco rozijnenbroodje x 12|259.0|7.1|1.2|0.3|0.975|52.8|28.6|TARWEbloem Bio, rozijnen Bio (34%), water, gist, TARWEgluten Bio, rietsuiker Bio, weipoeder Bio (MELK), zout, MELKpoeder Bio, LUPINEmeel Bio, plantaardig vet (palm Bio), meelverbeteraar (E300), voedingszuur (E322 (SOJA)), TARWEmoutmeel Bio, enzymen (TARWE
Brood|Krentencake 2 plakjes verpakt|250.29|6.69|1.59|0.61|0.76|49.93|26.18|rozijnen (36%), TARWEbloem, water, gist, TARWEgluten, suiker, weipoeder(MELK), bakkerszout, Emulgator(E471, E481, E472e), SOJAbloem, TARWEbloem (voorverstijfseld), dextrose, Geheel Gehard Plantaardige Vet(palm), Plantaardige Olie(raapzaad, zonnebloem), Ar
Brood|Zonnestralen rozijnenbrood 5st|309.0|9.143|3.99|1.178|0.889|57.435|27.0|TARWEbloem, krenten 35%, water, bakkersgist, plantaardige oliën (palm, raapzaad, zonnebloem), TARWEgluten, dextrose, weipoeder (MELK), gejodeerd zout, gedroogd ROGGEzuurdesem, TARWEmoutmeel, enzymen (TARWE), meelverbeteraar: E300, natuurlijke aroma's (sin
Brood|Rozijnenbroodjes 6 stuks|292.93|6.32|1.92|0.87|0.93|59.3|12.97|TARWEBLOEM, rozijnen, water, krenten, gist, TARWEGLUTEN, weipoeder (MELK), suiker, bakkerszout, emulgator(E471, E472e, E481) (TARWE), voorverstijfselde TARWEbloem, SOJABLOEM, geheel gehard en plantaardig vet (palm), meelverbeteraar(E920, E300), plantaardi
Brood|Bramen-bessen broodjes 6st|273.0|7.6|2.23|1.05|0.824|54.25|23.29|TARWEBLOEM, 22% rozijnen, 11% krenten, water, bakkersgist, TARWEGLUTEN, dextrose, weipoeder (MELK), plantaardige oliën (raapzaad, palm, zonnebloem, koolzaad), bakkerszout, BOTERPOEDER, emulgatoren (plantaardig): E482/E471/E472e,  rijsmiddelen: E450/E500ii
Brood|Solo broodjes rozijnen|258.12|6.37|2.37|1.09|0.88|52.11|28.23|rozijnen, TARWEbloem, water, gist, TARWEgluten, suiker, Emulgator(E471, E481, E472e), bakkerszout, weipoeder(MELK), dextrose, Geheel Gehard Plantaardige Vet(palm), ROGGEbloem, Plantaardige Olie(raapzaad, zonnebloem), Aroma(aroma), enzymen(TARWE), erwtenei
Brood|Krentenkrol|299.4|10.12|7.24|0.72|0.7|53.19|30.84|rozijnen(37%), TARWEbloem, water, gist, suiker, dextrose, bakkerszout, ROGGEbloem (voorverstijfseld), wei-eiwit (concentraat)(MELK), weipoeder(MELK), SOJAbloem, EI, ROGGEbloem, gistextract, enzymen(TARWE), veldbonenmeel, Gedeeltelijk Geharde Plantaardige
Brood|Vomar - bessen-bramenbol 6 st|249.0|6.9|1.8|0.8|0.8|49.3|25.9|"TARWEBLOEM, rozijnen (24%), water, krenten (8%), bakkersgist, suiker, TARWEGLUTEN, weipoeder [MELK], bakkerszout, veldbonenmeel,
roomboterpoeder [MELK], enzym [TARWE], TARWEMOUTBLOEM, koolzaadolie, ROGGEMEEL, dextrose, raapzaadolie, zonnebloemolie, aroma,"
Brood||247.2|9.18|6.74|0.8|1.04|35.42|1.61|TARWEbloem, water, volkorenTARWEmeel, zonnebloempitten, desem (2%), gierst**, lijnzaad, GERSTemoutmeel, bakkerszout, dextrose, TARWEgluten**, HAVERvlokken, pompoenpitten, SESAMzaad (ongepeld), veldbonenmeel, durumTARWEbloem, TARWEgluten, Plantaardig Vet(p
Brood|plattelands zonneschijn meergranen brood|245.0|10.4|2.61|0.45|1.04|42.71|1.19|TARWEBLOEM, water, VOLKORENTARWEMEEL, TARWEGLUTEN, TARWEZEMELEN, zonnebloempitten, lijnzaad, bakkerszout, ROGGEBLOEM, gierst, meelverbeteraar (E300), TARWEMOUTMEEL, GERSTEMOUTEXTRACT, gist, SOJABLOEM, ENZYMEN (TARWE) , suiker (gebrand), GERSTEMOUTMEEL, em
Brood|Kookzak waldkern boerderij-breed dik gs|233.39|11.17|4.3|0.94|1.02|35.02|1.54|water, TARWEbloem, volkorenTARWEmeel, SOJAschroot, TARWEgluten, TARWEmoutmeel, HAVERvlokken, zonnebloempitten, GERSTemeel, lijnzaad, gist, bakkerszout, GERSTemoutextract, SESAMzaad (gepeld), ROGGEbloem, maltodextrine, roggezuurdesem (gedroogd)(TARWE), Emu
Brood|Natuurlijk zonnegraan 600g|289.0|12.44|6.979|0.753|1.321|42.43|1.9|"TARWEbloem*, water, zonnebloempitten* 8%, TARWEgluten*, lijnzaad*, SOJAgrits*, bakkersgist, SESAMzaad*, moutmeel (GERST*, TARWE*), rietsuiker*, gejodeerd zout, enzymen (TARWE), meelverbeteraar: E300, ROGGEbloem*, emulgator: zonnebloemlecithine. 
*Van biol"
Brood|Heuvelbrood woudzaden 750 gram|266.64|12.801|5.599|1.135|0.995|38.069|1.835|water, TARWEbloem, volkorenTARWEmeel, SOJAvlokken, TARWEgluten, TARWEmoutbloem (geroosterd), zonnebloempitten, HAVERvlokken, lijnzaad, GERSTevlokken, gist, GERSTemoutextract, SESAMzaad (gepeld), HAVER (gebroken), bakkerszout, ROGGEbloem, ROGGEzuurdesem (g
Brood|Groot heidebrood|247.27|12.33|3.98|0.95|0.98|37.38|2.26|TARWEbloem, volkorenTARWEmeel, water, TARWEgluten, gist, TARWEmoutmeel, SOJAschroot, HAVERvlokken, GERSTemeel, zonnebloempitten, lijnzaad, bakkerszout, GERSTemoutextract, ROGGEbloem, maltodextrine, roggezuurdesem (gedroogd)(TARWE), SESAMzaad (gepeld), enz
Brood|Twee donker geschaafd|291.65|11.0|7.2|2.84|0.91|41.94|6.23|volkorenTARWEmeel, water, TARWEBLOEM, GERSTEMOUTMEEL, TARWEGLUTEN, weipoeder (MELK), dextrose, zonnebloempitten, veldbonenmeel, ROGGEMOUTMEEL, gist, pompoenpitten, emulgator(E472e, E482), LUPINE, gebrande suiker, geheel gehard en plantaardig vet (palm), g
Brood|Tweedonker meerzaden 400g|263.0|12.285|6.445|0.832|0.925|34.718|0.48|volkorenTARWEmeel 37%, water, zonnebloempitten 6%, ROGGEmeel 4%, volkorenSPELTmeel 4%, TARWEgluten, moutmeel (GERST 1,5%,TARWE 1,5%), bakkersgist, lijnzaad 0,8%, bakkerszout, HAVERvlokken 0,6%, gedroogd ROGGEzuurdesem, enzymen (TARWE), meelverbeteraar: E3
Brood|Bram van Dijk's premium volkoren sneetjes 825 gesneden|280.0|11.38|7.79|1.19|0.67|39.74|1.13|TARWEbloem, water, zonnebloempitten, TARWEgluten, lijnzaad, SESAMzaad (ongepeld), gist, LUPINEzemelen, plantaardige olie (raapzaad), bakkerszout, ROGGEbloem (TARWE), GERSTemoutmeel, veldbonenmeel, suiker, zuurdesempoeder (ROGGE), raapzaad, palm, emulgator
Brood|Heidegraan-brood 800gr. gesneden|268.93|12.744|5.28|0.7|1.07|39.257|2.045|TARWEbloem, water, volkorenTARWEmeel, SOJAgrits, TARWEgluten, lijnzaad, HAVER (gebroken), HAVERvlokken, ROGGEmeel, GERSTemoutextract, zonnebloempitten, gist, SESAMzaad (ongepeld), TARWE, TARWEvezel, bakkerszout, maltodextrine, plantaardige olie (raapzaad)
Brood|75 do ciabatta rustiek|245.0|8.0|1.8|0.1|1.0|49.8|1.0|"TARWEbloem, water,

bakkersgist, bakkerszout, rijstmeel, moutmeel

(TARWE), moutextract (GERST), azijn.

Gemaakt in een bakkerij die ook melk, noten

en sesam verwerkt."
Brood|Van deurse's puurkorrel finaal|206.75|9.62|2.25|0.69|0.94|33.49|2.12|volkorenTARWEmeel, water, gist, bakkerszout, GERSTemoutmeel, suiker, Plantaardige Olie(raapzaad), Plantaardig Vet(palmpit, palm), veldbonenmeel, Emulgator(E482, E471), glucosestroop, suiker (gebrand), Geheel Gehard Plantaardige Vet(palm), invertsuikerstro
Brood|2x broodbella|278.0|8.3|3.1|0.4|1.05|52.5|0.3|TARWEbloem, water, TARWEgries, olijfolie (extra vergine), bakkerszout, gist, Antioxidant(E300), rijstemeel, dextrose, Plantaardige Olie(koolzaad), TARWEgluten, TARWEmoutmeel
Brood|Boeren veldbrood heel|250.0|8.3|1.3|0.2|1.01|50.3|1.0|TARWEbloem, water, bakkersgist, gejodeerd zout, raapzaadolie, TARWEmoutmeel, enzym (TARWE), meelverbeteraar: E300.   Kan sporen bevatten van: ei, soja, melk, noten, sesam, lupine.
Brood|Gesneden lichtzonnebrood, zonnebloempitten|226.48|8.14|1.87|0.28|0.91|43.03|1.29|TARWEBLOEM, gist, SESAMZAAD (ongepeld), bakkerszout, meelverbeteraar(E920, E300), TARWEMOUTMEEL, dextrose, SOJABLOEM, suiker, geheel gehard en plantaardig vet (palm), plantaardige olie (raapzaad), plantaardig vet (palm), stabilisator(E415), glucosestroop,
Brood|Vol casino sneeuwwit brood gesneden.|244.17|8.21|1.08|0.31|1.02|48.81|2.5|TARWEbloem, water, gist, bakkerszout, dextrose, Emulgator(E471, E481), SOJAbloem, enzymen(TARWE), Plantaardige Olie(koolzaad), Aroma(aroma), Meelverbeteraar(E300, E920), Stabilisator(E415), TARWEmoutbloem
Hartige snacks en zoutjes|Gestoomd broodje gevuld met sappige reepjes rundvlees in een pittige pindasaus|232.0|7.5|5.0|0.8|1.01|38.9|6.8|tarwebloem, water, kippenvlees (15%), satésaus (9%) (water, gemalen pinda's, suikerstroop, azijn, zonnebloemolie, sojasaus (water, sojabonen, tarwe, zout), gehydrolyseerd maïs en sojaeiwit, soja-eiwitconcentraat, emulgator: E473, sambal (chillies, zout, w
Graanproducten en bindmiddelen|Pasta deegballen 14 x 200g (2800 gram)|237.0|8.0|3.1|0.4|0.7|42.4|0.5|TARWEbloem, water, koolzaadolie, gist, zout, suiker, TARWEGLUTEN
Graanproducten en bindmiddelen|Pizzabodem gezinsformaat meergranen|268.0|12.0|2.8|0.6|0.83|43.0|2.8|speltbloem (tarwe), water, volkoren tarwemeel, tarwegluten, tarwebloem, rijsmiddel (glucono-delta-lacton [E575], natriumcarbonaat [E500]), olijfolie, dextrose, zout, zuurteregelaar (citroenzuur [E330]), antioxidant (ascorbinezuur [E300]).
Hartige snacks en zoutjes|Kapao bip (1300 gram)|247.2|9.6|4.8|1.7|1.5|40.7|9.9|Broodje: TARWEbloem, water, suiker, plantaardige olie (raapzaad), gist, gejodeerd zout., vulling: (kippenvlees (59%) (kippenvlees, water, paneermeel (TARWE), TARWEzetmeel, zout, stabilisatoren (E450, E451), kruiden en specerijen))
Hartige snacks en zoutjes|Gestoomde broodjes met lamsvleesvulling|240.0|8.1|4.9|1.7|0.87|40.6|7.7|tarwebloem, 22% rundvlees, water, suiker, ketjap (suiker, water, sojasaus [sojabonenextract, tarwebloem, zout, kleurstof: E150c, water], zout, gemodificeerd zetmeel (maïs), citroenzuur, kruiden, specerijen), gist, uien, plantaardige oliën (raap, soja), wi
Brood|10x tarwe fluweel zacht|253.64|10.205|2.902|1.151|1.006|44.036|6.142|TARWEbloem, volkorenTARWEmeel, water, gist, weipoeder (MELK), dextrose, TARWEgluten, bakkerszout, plantaardig vet (palm), GERSTemoutmeel, wei-eiwit (concentraat) (MELK), SOJAmeel, emulgatoren (E471, E481), palm, plantaardige olie (raapzaad), glucosestroop
Brood||228.0|8.6|2.4|0.2|1.06|38.6|4.0|volkorenTARWEmeel, Water, TARWEBLOEM 22,4%, gist, TARWEGLUTEN, dextrose, weipoeder (MELK), bakkerszout, SOJABLOEM, geheel gehard en plantaardig vet (palm), meelverbeteraar(E920, E300), TARWEMOUTMEEL, plantaardige olie (raapzaad), emulgator(E471, E472e, E4
Brood|Broodje brons luchtig stuk per 8 ven|230.67|9.72|2.64|1.15|1.1|39.83|6.35|water, TARWEbloem, volkorenTARWEmeel, weipoeder(MELK), gist, wei-eiwit (concentraat)(MELK), dextrose, bakkerszout, TARWEgluten, Plantaardig Vet(palm, palmpit), Emulgator(E482, E471), Plantaardige Olie(raapzaad), Geheel Gehard Plantaardige Vet(palm), GERST
Brood|Broodje bruin luchtige bol per 6 verp|230.67|9.72|2.64|1.15|1.1|39.83|6.35|water, TARWEbloem, volkorenTARWEmeel, weipoeder(MELK), gist, wei-eiwit (concentraat)(MELK), dextrose, bakkerszout, TARWEgluten, Plantaardig Vet(palm, palmpit), Emulgator(E482, E471), Plantaardige Olie(raapzaad), Geheel Gehard Plantaardige Vet(palm), GERST
Brood|Zachte graan bol sesam a 6|258.24|12.259|4.754|1.312|0.941|37.588|5.506|volkorenTARWEmeel, water, gist, maanzaad, TARWEgluten, weipoeder (MELK), dextrose, bakkerszout, plantaardig vet (palm), GERSTemoutbloem (geroosterd), emulgatoren (E471, E481), SOJAbloem, wei-eiwit (concentraat) (MELK), gehard plantaardige vet (palm), gluc
Brood|Mals meergranen kegel zaadblend|276.48|12.695|6.919|1.557|0.889|36.769|5.143|volkorenTARWEmeel, water, gist, TARWEgluten, weipoeder (MELK), HAVERvlokken, SESAMzaad (gepeld), lijnzaad, maanzaad, zonnebloempitten, dextrose, bakkerszout, plantaardig vet (palm), GERSTemoutbloem (geroosterd), emulgatoren (E471, E481), SOJAbloem, wei-ei
